,hour,invocations
0,0,549911.9642857143
1,1,543402.0892857143
2,2,539448.9821428572
3,3,538906.2142857143
4,4,540707.6607142857
5,5,540137.75
6,6,539114.25
7,7,539159.3571428572
8,8,538241.8214285715
9,9,538378.1428571428
10,10,541138.8214285715
11,11,541146.75
12,12,541647.4285714285
13,13,543565.3571428572
14,14,544967.9821428572
15,15,546338.6428571428
16,16,545083.6607142857
17,17,544512.125
18,18,551297.875
19,19,554396.0892857143
20,20,557659.6071428572
21,21,559104.5178571428
22,22,561909.5178571428
23,23,562968.2857142857
24,24,564307.5535714285
25,25,567187.1785714285
26,26,568719.4107142857
27,27,569220.4642857143
28,28,571067.0535714285
29,29,573226.625
30,30,574726.9285714285
31,31,571633.3571428572
32,32,567115.6607142857
33,33,570762.4821428572
34,34,571864.375
35,35,572925.8392857143
36,36,571004.8035714285
37,37,570948.1428571428
38,38,569525.5178571428
39,39,568250.0178571428
40,40,568185.375
41,41,566630.7857142857
42,42,565503.5535714285
43,43,564825.0
44,44,563204.8928571428
45,45,562998.125
46,46,557044.5
47,47,554779.5535714285
48,48,552791.9107142857
49,49,551862.4285714285
50,50,554089.6785714285
51,51,555257.0
52,52,557006.4285714285
53,53,558913.4821428572
54,54,563883.1964285715
55,55,569889.3571428572
56,56,571333.875
57,57,573372.9464285715
58,58,577302.7678571428
59,59,578952.3392857143
60,60,581993.7321428572
61,61,579079.5178571428
62,62,583041.2678571428
63,63,589906.5357142857
64,64,594049.0535714285
65,65,596066.4285714285
66,66,596410.6964285715
67,67,598949.0178571428
68,68,596498.1428571428
69,69,595409.75
70,70,596304.6964285715
71,71,595130.9464285715
72,72,593993.4642857143
73,73,594678.1071428572
74,74,595346.6607142857
75,75,597772.7678571428
76,76,594596.7321428572
77,77,592708.5892857143
78,78,594911.9107142857
79,79,600227.2678571428
80,80,603882.4107142857
81,81,604356.8035714285
82,82,606081.875
83,83,603876.8214285715
84,84,604559.9285714285
85,85,606191.4464285715
86,86,606838.1428571428
87,87,609240.0892857143
88,88,611518.0178571428
89,89,613668.0892857143
90,90,615762.1607142857
91,91,612750.2678571428
92,92,611117.4642857143
93,93,613297.3214285715
94,94,616104.1964285715
95,95,617191.75
96,96,618138.5892857143
97,97,622366.9464285715
98,98,623487.0178571428
99,99,623427.0178571428
100,100,623384.8035714285
101,101,621351.0357142857
102,102,622193.6964285715
103,103,622505.9464285715
104,104,623363.3392857143
105,105,624643.8214285715
106,106,623300.0178571428
107,107,622046.3035714285
108,108,623527.5714285715
109,109,628585.1607142857
110,110,629200.4107142857
111,111,627974.6071428572
112,112,631081.2857142857
113,113,632689.1964285715
114,114,634781.6071428572
115,115,637002.5714285715
116,116,636189.7857142857
117,117,637016.125
118,118,639263.1428571428
119,119,640989.375
120,120,640665.1785714285
121,121,636027.5
122,122,635239.9642857143
123,123,634830.7857142857
124,124,639786.5892857143
125,125,643473.375
126,126,643646.0535714285
127,127,648119.9821428572
128,128,649464.3214285715
129,129,650169.4107142857
130,130,649872.625
131,131,647944.6785714285
132,132,648912.3214285715
133,133,649157.375
134,134,649481.6964285715
135,135,648659.8928571428
136,136,643053.8035714285
137,137,640838.3214285715
138,138,636726.0535714285
139,139,634576.3571428572
140,140,633007.0892857143
141,141,630482.9821428572
142,142,633199.0535714285
143,143,635245.0357142857
144,144,637687.4642857143
145,145,639769.3928571428
146,146,637756.5
147,147,638309.6607142857
148,148,640184.8214285715
149,149,642635.125
150,150,646049.0892857143
151,151,643644.7678571428
152,152,644931.0357142857
153,153,646310.5714285715
154,154,651396.125
155,155,653435.3035714285
156,156,652579.8214285715
157,157,653929.5357142857
158,158,654199.1964285715
159,159,655671.4107142857
160,160,655966.3214285715
161,161,655162.8035714285
162,162,654651.25
163,163,654708.9285714285
164,164,653604.6785714285
165,165,653508.8035714285
166,166,651793.0892857143
167,167,654192.8214285715
168,168,654353.7142857143
169,169,657637.0892857143
170,170,657590.6071428572
171,171,657002.9107142857
172,172,658926.1607142857
173,173,657742.625
174,174,659503.1785714285
175,175,660789.9642857143
176,176,660459.4107142857
177,177,660596.0892857143
178,178,663261.5357142857
179,179,665746.7142857143
180,180,665981.3214285715
181,181,664165.1071428572
182,182,665401.8928571428
183,183,668508.3928571428
184,184,674196.375
185,185,676089.125
186,186,676714.0
187,187,681293.6785714285
188,188,683089.3214285715
189,189,686062.6428571428
190,190,689104.0714285715
191,191,695376.9642857143
192,192,698162.4285714285
193,193,699996.25
194,194,702802.5
195,195,703586.6785714285
196,196,700730.25
197,197,698478.9821428572
198,198,699183.9821428572
199,199,704304.75
200,200,705613.8571428572
201,201,708245.9285714285
202,202,714521.3392857143
203,203,714030.2321428572
204,204,714025.625
205,205,711154.4107142857
206,206,710008.8571428572
207,207,709924.7678571428
208,208,710533.5535714285
209,209,710783.6071428572
210,210,709868.6964285715
211,211,705422.4821428572
212,212,703452.625
213,213,700917.25
214,214,703934.4464285715
215,215,700301.0892857143
216,216,695267.8392857143
217,217,697167.5535714285
218,218,697370.5535714285
219,219,697530.5892857143
220,220,698121.8928571428
221,221,700009.5
222,222,700805.4642857143
223,223,703082.5357142857
224,224,705634.6607142857
225,225,707299.5
226,226,704768.1964285715
227,227,704966.4642857143
228,228,706528.4285714285
229,229,711623.7142857143
230,230,711915.9642857143
231,231,710606.0
232,232,711310.1964285715
233,233,708743.9107142857
234,234,707526.9107142857
235,235,704532.4464285715
236,236,702166.5
237,237,698936.6964285715
238,238,697004.6964285715
239,239,696518.7678571428
240,240,695290.8571428572
241,241,690065.1964285715
242,242,684835.9107142857
243,243,680224.0535714285
244,244,684246.1964285715
245,245,683348.0
246,246,681451.6071428572
247,247,684113.0714285715
248,248,682890.3214285715
249,249,683431.8928571428
250,250,683080.1964285715
251,251,684180.4107142857
252,252,687239.7678571428
253,253,688796.5178571428
254,254,690762.3928571428
255,255,690800.7321428572
256,256,690111.1785714285
257,257,690413.5357142857
258,258,687976.3214285715
259,259,691064.625
260,260,691731.2321428572
261,261,689164.9821428572
262,262,689742.1785714285
263,263,687155.2321428572
264,264,687763.6428571428
265,265,688883.8392857143
266,266,686918.4107142857
267,267,687317.5357142857
268,268,687144.3571428572
269,269,690898.5714285715
270,270,691225.5357142857
271,271,689854.2321428572
272,272,687496.4464285715
273,273,687037.6785714285
274,274,690757.1785714285
275,275,690776.6071428572
276,276,689243.75
277,277,691115.1428571428
278,278,689654.0535714285
